Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait descriptio,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method descriptio,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_358:0000416,SKI (g)_OBSOLETE,SKI_M_g,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000414,Seed kernel index,Morphological,Weight in grams of kernel per 100 seeds,,SKI,,Seed,kernel weight,Standard for CottonGen,,CO_358:0000415,SKI - Measurement,Computation,Weight in grams of seed coats per 100 seeds,Weight in grams of seed coats per 100 seeds,,CO_358:0000059,g,Numerical,2,0,,,,,,,,,,,,
,CO_358:0000419,FNS (g)_OBSOLETE,FNS_M_g,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000417,Fiber nep size,Quality,"Fiber nep size (FNS), an AFIS measurement on nep size",,FNS,,Fiber,nep size,Standard for CottonGen,,CO_358:0000418,FNS - AFIS Measurement,Measurement,"FNS (g), an AFIS measurement on nep size",,,CO_358:0000059,g,Numerical,2,0,,,,,,,,,,,,
,CO_358:0000423,pink bollworm resist (1-5)_OBSOLETE,PKBWR_E_1to5,CN germlasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000420,Pink bollworm resistance,Biotic stress,Resistance to pink bollworm (Pectinophora gossypiella),,PKBWR,,Plant,pink bollworm resistance,Standard for CottonGen,,CO_358:0000421,PKBWR - Estimation,Estimation,"Pink bollworm resistance. Code Definition: 1=High resistant, 2=Resistant, 3=Medium resistant, 4=Susceptive, 5=High susceptive",,,CO_358:0000422,PKBWR CN scale,Ordinal,,,,,,,,,,,,,,
,CO_358:0000427,plant color (0-3)_OBSOLETE,PCL_E_0to3,UZ germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000424,Plant color,Morphological,Plant pigmentation,,PCL,,Plant,color,Standard for CottonGen,,CO_358:0000425,PCL - Estimation,Estimation,"Colour of the plant in general. Code Definition: 0=Weak, 1=Middle, 2=Strong, 3=Not became brown",,,CO_358:0000426,plant color UZ scale,Ordinal,,,,,,,,,,,,,,
,CO_358:0000430,SCI (g)_OBSOLETE,SCI_M_g,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000428,Seed coat index,Morphological,Weight in grams of seed coats per 100 seeds,,SCI,,Seed coat,weight,Standard for CottonGen,,CO_358:0000429,SCI - Measurement,Measurement,Weight in grams of seed coats per 100 seeds,,,CO_358:0000059,g,Numerical,2,0,,,,,,,,,,,,
,CO_358:0000432,SFCw (g)_OBSOLETE,SFCw_M_g,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000046,Short fiber content,Quality,"The percent by weight of short fibers (12.7 mm or less) measured by Suter-Webb array method, or AFIS (Advance Fiber Information System), or the SFI from HVI (High Volume Instrument)",,SFC,,Fiber,short fiber content,Standard for CottonGen,,CO_358:0000431,SFC - AFIS SFCw Measurement,Measurement,"SFCw (g), an AFIS measurement on the percent of the fibers, calculated by weight, that are less than 0.50 inch or 12.7 mm",,,CO_358:0000059,g,Numerical,2,0,,,,,,,,,,,,
,CO_358:0000435,LP (1-2)_OBSOLETE,LP_E_1to2,CN germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000024,Lint percent,Agronomic,The weight of lint ginned from a sample of seed cotton expressed as a percentage of the weight of seed cotton,,LP,,Fiber,weight,Standard for CottonGen,,CO_358:0000433,LP - Estimation,Estimation,Lint percent estimate (Low/High),,,CO_358:0000434,lint percent CN scale,Ordinal,,,,,,,,,,,,,,
,CO_358:0000439,salinity tolerance (1-4)_OBSOLETE,SALT_E_1to4,CN germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000436,Salinity tolerance,Abiotic stress,Salinity tolerance is the degree to which a plant is adapted to salt conditions,,SALT,,Plant,salinity tolerance,Standard for CottonGen,,CO_358:0000437,SALT - Estimation,Estimation,"Salinity tolerance. Code Definition: 1=High resistant, 2=Resistant, 3=Tolerant, 4=Susceptive",,,CO_358:0000438,salinity tol CN scale,Ordinal,,,,,,,,,,,,,,
,CO_358:0000441,SFCn (g)_OBSOLETE,SFCn_M_g,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000046,Short fiber content,Quality,"The percent by weight of short fibers (12.7 mm or less) measured by Suter-Webb array method, or AFIS (Advance Fiber Information System), or the SFI from HVI (High Volume Instrument)",,SFC,,Fiber,short fiber content,Standard for CottonGen,,CO_358:0000440,SFC - AFIS SFCn Measurement,Measurement,"SFCw (g), an AFIS measurement on the percent of the fibers, calculated by number, that are less than 0.50 inch or 12.7 mm",,,CO_358:0000059,g,Numerical,2,0,,,,,,,,,,,,
,CO_358:0000444,leaf color (1-8)_OBSOLETE,LFCL_E_1to8,CN germlasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000020,Leaf color,Morphological,Coloration of mature leaf,,LFCL,,Leaf,color,Standard for CottonGen,,CO_358:0000442,LFCL - Estimation,Estimation,"Leaf color (Leaf colour). Definition code: 1=light green, 2=green, 3=dark green, 4=yellow, 5=white yellow, 6=yellow red, 7=purple red, 8=mottled",,,CO_358:0000443,leaf color CN scale,Nominal,,,,,8= mottled,,,,,,,,,
,CO_358:0000448,spider mite resist (1-5)_OBSOLETE,SPMR_E_1to5,CN germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000445,Spider mite resistance,Biotic stress,Resistance to spider mite (Tetranychus spp.),,SPMR,,Plant,spider mite resistance,Standard for CottonGen,,CO_358:0000446,SPMR - Estimation,Estimation,"Spider mite resistance. Code Definition: 1=High resistant, 2=Resistant, 3=Medium resistant, 4=Susceptive, 5=High susceptive",,,CO_358:0000447,SPMR CN scale,Ordinal,,,,,,,,,,,,,,
,CO_358:0000451,"leaf color (1-3,9)_OBSOLETE",LFCL_E_1to3_9,NCGC germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000020,Leaf color,Morphological,Coloration of mature leaf,,LFCL,,Leaf,color,Standard for CottonGen,,CO_358:0000449,LFCL - Estimation,Estimation,"Leaf color descriptor code definition: 1=green, 2=red, 3=dark red, 9=seg/off type",,,CO_358:0000450,leaf color NCGC scale,Nominal,,,,,,,,,,,,,,
,CO_358:0000455,wet tolerance (1-5)_OBSOLETE,WETT_E_1to5,CN germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000452,Wet tolerance,Abiotic stress,Wet tolerance is the degree to which a plant is adapted to excess water conditions,,WETT,,Plant,wet tolerance,Standard for CottonGen,,CO_358:0000453,WETT - Estimation,Estimation,"Wet tolerance. Code definition: 1=High resistant, 2=Resistant, 3=Tolerant, 4=Susceptive",,,CO_358:0000454,WETT CN scale,Ordinal,,,,,,,,,,,,,,
,CO_358:0000458,leaf nectaries_OBSOLETE,LFNEC_E_text,NCGC germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000021,Leaf nectaries,Morphological,Observed nectary glands on the undersides of the leaf,,LFNEC,,Leaf,nectaries,Standard for CottonGen,,CO_358:0000456,LFNEC - Estimation,Estimation,"Leaf nectaries descriptor code definition: 0=absent, 1-1=one nectar gland on main vein, 1-2=two nectar glands, one on main vein and on the other vein, 1-3=three nectar glands, on main vein and two other veins, 1-4=four nectar glands found on the leaf underside, 1-5=five nectar glands found on the leaf underside, 2=reduced nectar gland on the main vein, 9=seg/off type",,,CO_358:0000457,leaf nectaries NCGC text,Code,,,,,,,,,,,,,,
,CO_358:0000462,plot plant stand_OBSOLETE,PlotStd_E_text,NCGC germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000459,Plot plant stand,Physiological,Stand establishment of the accession in the plot,,PlotStd,,Plant,stand,Standard for CottonGen,,CO_358:0000460,PlotStd - Estimation,Estimation,"Plot plant stand descriptor code definition: 100%=full stand, 90%=less than full stand, 75%=3/4 of a full stand, 50%=half of a full stand, 25%=1/4 of a full stand, 3 = 3 plants in the stand, 2 = 2 plants in the stand, 1 = 1 plant, 0 = no plants (i.e., x >25 means x%, x<10 means x plants)",,,CO_358:0000461,Plot plant stand NCGC text,Text,,,,,,,,,,,,,,
,CO_358:0000465,leaf nectaries (1-2)_OBSOLETE,LFNEC_E_1to2,CN germlasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000021,Leaf nectaries,Morphological,Observed nectary glands on the undersides of the leaf,,LFNEC,,Leaf,nectaries,Standard for CottonGen,,CO_358:0000463,LFNEC - Estimation,Estimation,"Leaf nectar. Code definition: 0=absent, 1=present",,,CO_358:0000464,leaf nectaries CN scale,Nominal,,,,,,,,,,,,,,
,CO_358:0000469,"productiveness (0-5,9)_OBSOLETE",PRODUCT_E_0to5_9,NCGC germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000466,Productiveness,Agronomic,Relative assessment of the productivity of an accession by observing the boll load on a single plant,,PRODUCT,,Plant,productiveness,Standard for CottonGen,,CO_358:0000467,PRODUCT - Estimation,Estimation,"The productivity of an accession by observing the boll load on a single plant. descriptor code definition: 0=none, 1=< 12/plant, 2=13-24/plant, 3=25-36/plant, 4=37-48/plant, 5=> 48/plant, 9=seg/off type",,,CO_358:0000468,productiveness NCGC text,Text,,,,,,,,,,,,,,
,CO_358:0000472,leaf shape (1-9)_OBSOLETE,LFSP_E_1to9,CN germlasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000022,Leaf shape,Morphological,The shape and structure of leaf,,LFSP,,Leaf,shape,Standard for CottonGen,,CO_358:0000470,LFSP - Estimation,Estimation,"Leaf shape. Code Definition: 1=broad leaf, 2=palm-shaped, 3=okra, 4=super-okra, 5=crispate, 6=cup-shaped, 7=nearly round, 8=ovule, 9=cordate",,,CO_358:0000471,leaf shape CN scale,Nominal,,,,,8= ovule,9= cordate,,,,,,,,
,CO_358:0000476,"seed type (1-4,9)_OBSOLETE",SDTP_M_1to4_9,NCGC germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000473,Seed type,Morphological,The clustering of the seed in the boll,,SDTP,,Seed,seed type,Standard for CottonGen,,CO_358:0000474,SDTP - Measurement,Measurement,"Seed type descriptor code definition: 1=free, 2=semi kidney, 3=kidney, 4=naked, 9=seg/off type",,,CO_358:0000475,seed type NCGC scale,Nominal,,,,,,,,,,,,,,
,CO_358:0000478,SI (g)_OBSOLETE,SI_M_g,trial/germplasm/QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000042,Seed index,Agronomic,"The mass of 100 fuzzy seeds, in grams",,SI,,Seed,weight,Standard for CottonGen,,CO_358:0000477,SI - Measurement,Measurement,SI (seed index) = the weight of 100 sampled fuzzy seeds in grams,,,CO_358:0000059,g,Numerical,2,0,,,,,,,,,,,,
,CO_358:0000481,"leaf shape (1-7,9)_OBSOLETE",LFSP_E_1to7_9,NCGC germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000022,Leaf shape,Morphological,The shape and structure of leaf,,LFSP,,Leaf,shape,Standard for CottonGen,,CO_358:0000479,LFSP - Estimation,Estimation,"Leaf shape descriptor code definition: 1=normal, 2=okra, 3=sub okra, 4=super okra, 5=laciniate, 6=ovate, 7=cordate, 9=seg/off type",,,CO_358:0000480,leaf shape NCGC scale,Nominal,,,,,9= seg/off type,,,,,,,,,
,CO_358:0000484,leaf shape (1-4)_OBSOLETE,LFSP_E_1to4,UZ germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000022,Leaf shape,Morphological,The shape and structure of leaf,,LFSP,,Leaf,shape,Standard for CottonGen,,CO_358:0000482,LFSP - Estimation,Estimation,"Leaf shape. Code Definition: 1=Palmete (normal), 2=Semi-digitate (semi-okar), 3=Digitate (okra), 4=Lanceolate (super okra)",,,CO_358:0000483,leaf shape UZ scale,Nominal,,,,,,,,,,,,,,
,CO_358:0000486,SI 1000 Seed (g)_OBSOLETE,SI_1000Sd_M_g,UZ germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000042,Seed index,Agronomic,"The mass of 100 fuzzy seeds, in grams",,SI,,Seed,weight,Standard for CottonGen,,CO_358:0000485,SI - Measurement,Measurement,10x SI (seed index). Weight of 1000 seeds in grams,,,CO_358:0000059,g,Numerical,2,0,,,,,,,,,,,,
,CO_358:0000489,FNC (g-1)_OBSOLETE,FNC_M_g-1,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000487,Fiber nep count,Quality,Nep count is the number of neps per 100 square inches of card web forming (a standerd hank of sliver of 12 NE on a 40 inch wide card),,FNC,,Fiber,nep content,Standard for CottonGen,,CO_358:0000488,FNC - AFIS Measurement,Measurement,"FNC (g-1), an AFIS measurement on nep count",,,CO_358:0000060,g-1,Numerical,0,0,,,,,,,,,,,,
,CO_358:0000492,seed coat nep (g-1)_OBSOLETE,SCNC_M_g-1,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000490,Seed coat nep count,Quality,This is the number of neps normalized per gram that are classified as seed coat neps,,SCNC,,Seed coat,nep content,Standard for CottonGen,,CO_358:0000491,SCNC - AFIS Measurement,Measurement,SCNC (Seed Coat Nep Count per Gram) is an AFIS measurement on the number of neps normalized per gram that are classified as seed coat neps,,,CO_358:0000060,g-1,Numerical,0,0,,,,,,,,,,,,
,CO_358:0000495,total nep (g-1)_OBSOLETE,TNC_M_g-1,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000493,Total nep count,Quality,The total nep count normalized per gram. This includes both fiber and seed coat neps,,TNC,,Seed cotton,nep content,Standard for CottonGen,,CO_358:0000494,TNC - AFIS Measurement,Measurement,"TNC (Nep Count per Gram), an AFIS measurement on the total nep count normalized per gram. This includes both fiber and seed coat neps",,,CO_358:0000060,g-1,Numerical,0,0,,,,,,,,,,,,
,CO_358:0000497,LY (g/plant)_OBSOLETE,LY_M_g_plant,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000025,Lint yield,Agronomic,"The mean production of the plots harvested, expressed in weight of lint of each plant/plot/area",,LY,,Fiber,yield,Standard for CottonGen,,CO_358:0000496,LY - Measurement,Measurement,Lint yield (g/plant),,,CO_358:0000061,g/plant,Numerical,,0,,,,,,,,,,,,
,CO_358:0000499,SCY (g/plant)_OBSOLETE,SCY_M_g_plant,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000039,Seed cotton yield,Agronomic,Weight of harvested cotton seed by each plant/plot/area,,SCY,,Seed cotton,yield,Standard for CottonGen,,CO_358:0000498,SCY - Measurement,Measurement,Seed cotton yield (g/plant),,,CO_358:0000061,g/plant,Numerical,,0,,,,,,,,,,,,
,CO_358:0000501,LY (g/plot)_OBSOLETE,LY_M_g_plot,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000025,Lint yield,Agronomic,"The mean production of the plots harvested, expressed in weight of lint of each plant/plot/area",,LY,,Fiber,yield,Standard for CottonGen,,CO_358:0000500,LY - Measurement,Measurement,Lint yield (g/plot),,,CO_358:0000062,g/plot,Numerical,,0,,,,,,,,,,,,
,CO_358:0000503,SCY (g/plot)_OBSOLETE,SCY_M_g_plot,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000039,Seed cotton yield,Agronomic,Weight of harvested cotton seed by each plant/plot/area,,SCY,,Seed cotton,yield,Standard for CottonGen,,CO_358:0000502,SCY - Measurement,Measurement,Seed cotton yield (g/plot),,,CO_358:0000062,g/plot,Numerical,,0,,,,,,,,,,,,
,CO_358:0000506,leaf lopes_OBSOLETE,LFSP_Lf_lopes_E_text,UZ germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000022,Leaf shape,Morphological,The shape and structure of leaf,,LFSP,,Leaf,shape,Standard for CottonGen,,CO_358:0000504,LFSP - Estimation,Estimation,Number of leaf lopes,,,CO_358:0000505,LFSP leaf lopes UZ text,Text,,,,,,,,,,,,,,
,CO_358:0000508,T0 (g/tex)_OBSOLETE,FS_HVI_T0_M_g_tex,UZ germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000015,Fiber strength,Quality,"The fiber strength of a bundle of fibers measured with the two jaws holding the fiber bundle separated by one-eighth inch, expressed in grams force per tex",fiber tenacity,FS,,Fiber,elongation,Standard for CottonGen,,CO_358:0000507,FS - HVI Measurement T0,Measurement,The fiber strength of a bundle of fibers measured on a Stelometer with the jaws holding the fiber bundle tightly appressed. Measured in grams force per tex,,,CO_358:0000063,g/tex,Numerical,2,0,,,,,,,,,,,,
,CO_358:0000510,T1 (g/tex)_OBSOLETE,"FS_HVI_T1_M_g_tex, STR",trial/germplasm/QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000015,Fiber strength,Quality,"The fiber strength of a bundle of fibers measured with the two jaws holding the fiber bundle separated by one-eighth inch, expressed in grams force per tex",fiber tenacity,FS,,Fiber,elongation,Standard for CottonGen,,CO_358:0000509,FS - HVI Measurement T1,Measurement,"T1 is an HVI standard measurement, a Stelometer measure of the fiber strength of a bundle of fibers measured with the two jaws holding the fiber bundle separated by one-eighth inch, expressed in grams force per tex",,,CO_358:0000063,g/tex,Numerical,2,0,,,,,,,,,,,,
,CO_358:0000512,days to 50% boll opening_OBSOLETE,BOLL50_E_day,germplasm/QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000008,Days to 50% boll opening,Phenological,Number of days between emergence and the first boll opening for 50% of the plants,,BOLL50,,Plant,boll opening time,Standard for CottonGen,,CO_358:0000511,BOLL50 - Estimantion,Estimation,Duration in days between seed germination and the first open boll for 50% of the plants,,,CO_358:0000064,growing days,Duration,,,,,,,,,,,,,,
,CO_358:0000514,days sowing to 50% boll opening_OBSOLETE,BOLL50_S-BO_E_day,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000008,Days to 50% boll opening,Phenological,Number of days between emergence and the first boll opening for 50% of the plants,,BOLL50,,Plant,boll opening time,Standard for CottonGen,,CO_358:0000513,BOLL50 - Estimantion,Estimation,Duration in days between the date of sowing to the date when 50% of plants reached boll opening,,,CO_358:0000064,growing days,Duration,,,,,,,,,,,,,,
,CO_358:0000517,days to 50% seed germinating_OBSOLETE,DOE50_E_day,germplasm/QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000515,Days to 50% emergence,Phenological,Number of days to 50% emergence of cotton seedlings,,DOE50,,Plant,emergence time,Standard for CottonGen,,CO_358:0000516,DOE50 - Estimantion,Estimation,Duration in days from seed to seed germination,,,CO_358:0000064,growing days,Duration,,,,,,,,,,,,,,
,CO_358:0000520,days to 50% flowering_OBSOLETE,FLW50_E_day,germplasm/QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000518,Days to 50% flowering,Phenological,Number of days between emergence and the first flower for 50% of the plants,,FLW50,,Plant,flowering time,Standard for CottonGen,,CO_358:0000519,FLW50 - Estimantion,Estimation,Duration in days between seed germination to 50% flowering,,,CO_358:0000064,growing days,Duration,,,,,,,,,,,,,,
,CO_358:0000523,days flowering to boll open_OBSOLETE,DOFB_E_day,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000521,Days flowering to boll open,Phenological,Number of days from flowering to boll opening,,DOFB,,Plant,flowering to boll opening time,Standard for CottonGen,,CO_358:0000522,DOFB - Estimantion,Estimation,Number of days from flowering to boll opening,,,CO_358:0000064,growing days,Duration,,,,,,,,,,,,,,
,CO_358:0000525,UHML (inch)_OBSOLETE,FL_UHML_M_inch,trial/QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000011,Fiber length,Quality,Fiber length is measured on a beard of cotton fibers on HVI systems and is reported in hundredths of an inch and equivalent staple length in thirty-seconds of an inch,,FL,,Fiber,length,Standard for CottonGen,,CO_358:0000524,FL_UHML - HVI Measurement,Measurement,"UHML is an HVI standard measurement, it is the average length of the longer one-half of the fibers",,,CO_358:0000065,inch,Numerical,2,0,,,,,,,,,,,,
,CO_358:0000527,FLw (inch)_OBSOLETE,FLW_M_inch,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000012,Fiber length by weight,Quality,Using AFIS to measure the mean length of fibers calculated by weight,,FLW,,Fiber,length,Standard for CottonGen,,CO_358:0000526,FLW - AFIS Measurement,Measurement,"FLw, an AFIS measurement on the mean length of fibers calculated by weight",,,CO_358:0000065,inch,Numerical,2,0,,,,,,,,,,,,
,CO_358:0000530,FLn (inch)_OBSOLETE,FLN_M_inch,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000528,Fiber length by number,Quality,Using AFIS to measure the mean length of fibers calculated by weight,,FLN,,Fiber,number,Standard for CottonGen,,CO_358:0000529,FLN - AFIS Measurement,Measurement,"FLn, an AFIS measurement on the mean length of fibers calculated by number",,,CO_358:0000065,inch,Numerical,2,0,,,,,,,,,,,,
,CO_358:0000533,FSCI_OBSOLETE,FSCI_M_index,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000531,Fiber spin consistency index,Quality,The spinning consistency index (FSCI) is a calculation for predicting the overall quality and spinnability of the cotton fiber,,FSCI,,Fiber,spin consistency,Standard for CottonGen,,CO_358:0000532,FSCI - Measurement,Measurement,Fiber spin consistency index (unknow method),,,CO_358:0000066,index,Text,,,,,,,,,,,,,,
,CO_358:0000536,FCG_OBSOLETE,FCG_E_text,germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000534,Fiber color grade,Quality,Color grade refers to the gradations of reflectance (Rd) and yellowness (+b) the cotton,,FCG,,Fiber,color grade,Standard for CottonGen,,CO_358:0000535,FCG - HVI Color Chart,Measurement,"FCG (fiber color grade) is determinded based on HVI Color Chart, a chart that shows the graphic plot of the distribution of reflectance (Rd) and yellowness (+b) for American Upland cotton. It includes color grades for white, light spotted, spotted, tinged and yellow stained cotton",,,CO_358:0000066,index,Text,,,,,,,,,,,,,,
,CO_358:0000538,LY (kg/ha)_OBSOLETE,LY_M_kg_ha,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000025,Lint yield,Agronomic,"The mean production of the plots harvested, expressed in weight of lint of each plant/plot/area",,LY,,Fiber,yield,Standard for CottonGen,,CO_358:0000537,LY - Measurement,Measurement,Lint yield (kg/ha),,,CO_358:0000067,kg/ha,Numerical,1,0,,,,,,,,,,,,
,CO_358:0000540,SCY (kg/ha)_OBSOLETE,SCY_M_kg_ha,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000039,Seed cotton yield,Agronomic,Weight of harvested cotton seed by each plant/plot/area,,SCY,,Seed cotton,yield,Standard for CottonGen,,CO_358:0000539,SCY - Measurement,Measurement,Seed cotton yield (kg/ha),,,CO_358:0000067,kg/ha,Numerical,1,0,,,,,,,,,,,,
,CO_358:0000543,SY (lb/acre)_OBSOLETE,SY_Cmp_lb_acre,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000541,Seed yield,Agronomic,The yield in pounds of seed per acre for each plot was calculated and reported,,SY,,Seed,yield,Standard for CottonGen,,CO_358:0000542,SY - Computation,Computation,The yield in pounds of seed per acre for each plot was calculated and reported,SY = ( LINT YIELD/ACRE ) * ( ( 100-LINT% ) / LINT% ),NCVT,CO_358:0000068,lb/acre,Numerical,3,0,,,,,,,,,,,,
,CO_358:0000545,LY (lb/acre)_OBSOLETE,LY_Cmp_lb_acre,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000025,Lint yield,Agronomic,"The mean production of the plots harvested, expressed in weight of lint of each plant/plot/area",,LY,,Fiber,yield,Standard for CottonGen,,CO_358:0000544,LY - Computation,Computation,LY (Lint yield) = [the weight of plot plus the weight of 25 samples in pounds (plot_wt+25_sample_wt)] x [the mean lint percentage of the 4 replications (avg_lint_pct_of_4_reps)] x 163.35/100,LY (Lint yield) = [the weight of plot plus the weight of 25 samples in pounds (plot_wt+25_sample_wt)] x [the mean lint percentage of the 4 replications (avg_lint_pct_of_4_reps)] x 163.35/100,,CO_358:0000068,lb/acre,Numerical,3,0,,,,,,,,,,,,
,CO_358:0000547,SCY (lb/acre)_OBSOLETE,SCY_M_lb_acre,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000039,Seed cotton yield,Agronomic,Weight of harvested cotton seed by each plant/plot/area,,SCY,,Seed cotton,yield,Standard for CottonGen,,CO_358:0000546,SCY - Measurement,Measurement,Seed cotton yield measured in lb/a from machine harvest,,,CO_358:0000068,lb/acre,Numerical,3,0,,,,,,,,,,,,
,CO_358:0000549,leaf BCONC (mg/kg)_OBSOLETE,BCONC_Lf_M_mg_kg,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000006,Calcium concentration,Biochemical,The total Calcium (Ca) concentration measured in a given volume of a plant or a plant part or plant extract,,CACONC,,Plant,calcium concentration,Standard for CottonGen,,CO_358:0000548,BConc - Measurement,Measurement,Standard method for the total Boron (B) concentration measured in a given volume of leaf extract,,,CO_358:0000069,mg/kg,Numerical,3,0,,,,,,,,,,,,
,CO_358:0000552,lint color (1-8)_OBSOLETE,LINTCL_E_1to8,CN germplasm evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000023,Lint color,Morphological,Coloration of mature fiber,,LINTCL,,Fiber,color,Standard for CottonGen,,CO_358:0000550,LINTCL - Estimation,Estimation,"Fiber color. Code Definition: 1=White, 2=Cream, 3=Light brown, 4=Brown, 5=Dark brown, 6=Light green, 7=Green, 8=Dark green",,,CO_358:0000551,lint color CN scale,Nominal,,,,,8= dark green,,,,,,,,,
,CO_358:0000554,petiole BCONC (mg/kg)_OBSOLETE,BCONC_petiole_M_mg_kg,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000006,Calcium concentration,Biochemical,The total Calcium (Ca) concentration measured in a given volume of a plant or a plant part or plant extract,,CACONC,,Plant,calcium concentration,Standard for CottonGen,,CO_358:0000553,BCONC - Measurement,Measurement,Standard method for the total Boron (B) concentration measured in a given volume of petiole extract,,,CO_358:0000069,mg/kg,Numerical,3,0,,,,,,,,,,,,
